name,sub_area,area,grade,star_count,popular
Groovy,Devils Lake Bouldering,Devil's Lake,0,2,17
Slab Right of Seams Tight,Devils Lake Bouldering,Devil's Lake,0,2.5,13
Welcome Mat Crack,Devils Lake Bouldering,Devil's Lake,1,2,13
Wave Mantle,Devils Lake Bouldering,Devil's Lake,1,2.5,16
Reservoir Dogs,Devils Lake Bouldering,Devil's Lake,1,1.5,15
Tall Boy,Devils Lake Bouldering,Devil's Lake,1,3.5,86
Welcome Crack,Devils Lake Bouldering,Devil's Lake,1,3,16
Scoop Offwidth,Devils Lake Bouldering,Devil's Lake,1,2,2
Left of Mancuso,Devils Lake Bouldering,Devil's Lake,1,2,7
Pocket Problem,Devils Lake Bouldering,Devil's Lake,2,2.5,76
NW Corner of Lake Boulder,Devils Lake Bouldering,Devil's Lake,2,1.5,6
Danger Zone,Devils Lake Bouldering,Devil's Lake,2,2,12
Struggle Bus,Devils Lake Bouldering,Devil's Lake,2,3,9
Its Bumpin,Devils Lake Bouldering,Devil's Lake,2,2.5,8
Slow Dance,Devils Lake Bouldering,Devil's Lake,2,2.5,6
Goodbye Route,Devils Lake Bouldering,Devil's Lake,2,1.5,3
Roll Top,Devils Lake Bouldering,Devil's Lake,2,3,6
Spread Eagle,Devils Lake Bouldering,Devil's Lake,2,2.5,14
Chaperone,Devils Lake Bouldering,Devil's Lake,2,2,3
West Face of Lake Boulder,Devils Lake Bouldering,Devil's Lake,3,2,22
SW Corner of Lake Boulder,Devils Lake Bouldering,Devil's Lake,3,3,37
Short Boulder,Devils Lake Bouldering,Devil's Lake,3,2.5,12
Flying Mancuso,Devils Lake Bouldering,Devil's Lake,3,3.5,96
lake boulder lunge,Devils Lake Bouldering,Devil's Lake,3,3,1
face left of west face lake boulder,Devils Lake Bouldering,Devil's Lake,3,3.5,8
Save Room for Jesus,Devils Lake Bouldering,Devil's Lake,3,2.5,3
Mancusco Direct,Devils Lake Bouldering,Devil's Lake,4,2,4
Stairway Slab,Devils Lake Bouldering,Devil's Lake,4,2,22
Thin Crack,Devils Lake Bouldering,Devil's Lake,4,1.5,3
Slope Opera,Devils Lake Bouldering,Devil's Lake,4,2.5,19
The Bottle,Devils Lake Bouldering,Devil's Lake,4,3,35
The Zschiesche Problem,Devils Lake Bouldering,Devil's Lake,5,2.5,3
Power of the Scoop,Devils Lake Bouldering,Devil's Lake,5,3.5,20
Seams Tight,Devils Lake Bouldering,Devil's Lake,5,3,37
Starfish,Devils Lake Bouldering,Devil's Lake,6,3.5,87
Corner right of Starfish,Devils Lake Bouldering,Devil's Lake,6,3.5,11
Lake boulder crack,Devils Lake Bouldering,Devil's Lake,7,0,0
Ursa Major,Devils Lake Bouldering,Devil's Lake,7,3,7
Le Eagle,Devils Lake Bouldering,Devil's Lake,7,3,1
Flypaper,Devils Lake Bouldering,Devil's Lake,7,2.5,8
Tall Boy Sit,Devils Lake Bouldering,Devil's Lake,8,2,4
The Powerful Mancuso,Devils Lake Bouldering,Devil's Lake,8,2.5,4
The Gasch Traverse,Devils Lake Bouldering,Devil's Lake,8,2.5,11
Man of War,Devils Lake Bouldering,Devil's Lake,9,3.5,11
Zschiesche Project?,Devils Lake Bouldering,Devil's Lake,9,4,1
Asteroidea,Devils Lake Bouldering,Devil's Lake,10,2.5,7
Project wall,Devils Lake Bouldering,Devil's Lake,10,0,0
Project wall pullup,Devils Lake Bouldering,Devil's Lake,11,0,1
Deep Water,Devils Lake Bouldering,Devil's Lake,2,2,1
Shark Bait,Devils Lake Bouldering,Devil's Lake,3,1.5,4
Scent of Blood,Devils Lake Bouldering,Devil's Lake,5,2,2
Pool Shark,Devils Lake Bouldering,Devil's Lake,7,1,4
Shark Tooth,Devils Lake Bouldering,Devil's Lake,8,3.5,7
Secrets Of The Lake Project,Devils Lake Bouldering,Devil's Lake,9,2.5,3
Pine Time,Devils Lake Bouldering,Devil's Lake,3,2,2
The Edge of The Edge,Devils Lake Bouldering,Devil's Lake,3,2,2
Storm Jib,Devils Lake Bouldering,Devil's Lake,3,2,2
Green Fire,Devils Lake Bouldering,Devil's Lake,6,2.5,21
Sail Away,Devils Lake Bouldering,Devil's Lake,8,2.5,19
Green Haze,Devils Lake Bouldering,Devil's Lake,8,3.5,22
Full Sail,Devils Lake Bouldering,Devil's Lake,10,4,14
Two Balls In A Sack,Devils Lake Bouldering,Devil's Lake,2,2,14
Chossome,Devils Lake Bouldering,Devil's Lake,2,2,9
Let's play doctor,Devils Lake Bouldering,Devil's Lake,4,2.5,17
